domain_combinations	percentage	number_c	...
PF07824.13-PF09599.11-PF03519.15-PF11441.9-PF07201.12-PF05925.13-PF16535.6-PF06511.12-PF04888.13	1.0	15	15	15	15	15	15	15	15	15	15	
PF06586.12-PF09673.11-PF09676.11-PF06986.12-PF06834.12-PF11130.9-PF06122.12-PF13728.7-PF07916.12	1.0	8	8	8	8	8	8	8	8	8	8	
PF05138.13-PF14535.7-PF07848.13-PF12158.9-PF18321.2-PF01575.20-PF06243.12-PF08223.12-PF01883.20	1.0	5	5	5	5	5	5	5	5	5	5	
PF18974.1-PF10671.10-PF07655.14-PF07419.13-PF06864.13-PF18821.2	1.0	5	5	5	5	5	5	5	
PF05261.12-PF18272.2-PF05818.13-PF12477.9-PF18340.2-PF05513.12	1.0	6	6	6	6	6	6	6	
PF06628.13-PF00199.20-PF04794.13-PF18011.2-PF10729.10	1.0	8	8	8	8	8	8	
PF04325.14-PF07717.17-PF11898.9-PF03848.15	1.0	8	8	8	8	8	
PF17147.5-PF10371.10-PF01558.19-PF01855.20	1.0	10	10	10	10	10	
PF13007.8-PF13005.8-PF13817.7-PF03050.15	1.0	12	12	12	12	12	
PF12293.9-PF16932.6-PF11393.9-PF13729.7	1.0	5	5	5	5	5	
PF01799.21-PF00941.22-PF03450.18	1.0	6	6	6	6	
PF03633.16-PF03636.16-PF03632.16	1.0	8	8	8	8	
PF05509.12-PF07296.12-PF10894.9	1.0	5	5	5	5	
PF08721.12-PF15978.6-PF06527.12	1.0	5	5	5	5	
PF11100.9-PF09679.11-PF12083.9	1.0	5	5	5	5	
PF11650.9-PF11134.9-PF09306.11	1.0	6	6	6	6	
PF14841.7-PF01706.17-PF14842.7	1.0	9	9	9	9	
PF06154.12-PF06174.12	1.0	10	10	10	
PF05135.14-PF05521.12	1.0	7	7	7	
PF02895.15-PF09078.12	1.0	10	10	10	
PF00872.19-PF04229.15	1.0	5	5	5	
PF09261.12-PF07748.14	1.0	10	10	10	
PF01113.21-PF05173.15	1.0	6	6	6	
PF08244.13-PF00251.21	1.0	7	7	7	
PF08706.12-PF03288.17	1.0	8	8	8	
PF03135.15-PF03524.16	1.0	7	7	7	
PF08722.12-PF08849.12	1.0	6	6	6	
PF02738.19-PF01315.23	1.0	11	11	11	
PF08298.12-PF06798.13	1.0	5	5	5	
PF05662.15-PF05658.15	1.0	6	6	6	
PF00668.21-PF00975.21	1.0	5	5	5	
PF07996.12-PF04335.14	1.0	8	8	8	
PF01845.18-PF07362.13	1.0	11	11	11	
PF01314.19-PF02730.16	1.0	6	6	6	
PF02812.19-PF00208.22	1.0	6	6	6	
PF02369.17-PF09134.11	1.0	6	6	6	
PF06890.13-PF07157.13	1.0	7	7	7	
PF09699.11-PF13435.7	1.0	7	7	7	
PF13478.7-PF02625.17	1.0	5	5	5	
PF13335.7-PF01078.22	1.0	5	5	5	
PF17482.3-PF04984.15	1.0	10	10	10	
PF06924.12-PF18406.2	1.0	17	17	17	
PF02550.16-PF13336.7	1.0	6	6	6	
PF14319.7-PF04986.14	1.0	11	11	11	
PF08178.12-PF15939.6	1.0	6	6	6	
PF14000.7-PF05354.12	1.0	9	9	9	
PF09052.11-PF17985.2	1.0	13	13	13	
PF18607.2-PF08775.11	1.0	18	18	18	
PF02589.16-PF11870.9	1.0	5	5	5	
PF13857.7-PF01443.19	1.0	12	12	12	
PF13087.7-PF13086.7	1.0	7	7	7	
PF15976.6-PF16967.6	1.0	8	8	8	
PF14864.7-PF14863.7	1.0	5	5	5	
PF13637.7-PF12796.8	1.0	5	5	5	
PF13586.7-PF13340.7	1.0	14	14	14	
PF16449.6-PF18649.2	1.0	7	7	7	
PF13369.7-PF13371.7	1.0	7	7	7	
